Area Name,Area ID,185,14006,26,9150,97,37,42,123,476,468,9636,6014,6080,95,96,3155,3156,10287,46,51,53,3475,15369,3911,17655,9092,9097,9102,13669,3908,10269,3361,10397,200
South Derbyshire,E07000039,24,3.83,2.6,6.72,5.1,33,41,95,5.27,5.66,2.7,49.9,59,79.3,83.2,61.5,62.6,0.073,46.1,1.3,4.7,"32,744.00",12.6,0.097,18.2,7.07,7.83,7.39,128.8,20.47,62.5,30.6,13,97.64
East Devon,E07000040,25,2.47,2.5,10.85,2.2,42.2,49,88,7,6.36,3.4,51.1,63,81.6,85.3,66.6,68.7,0.068,60,1.3,3.2,"29,274.00",12.9,0.085,12.8,7.33,7.77,7.54,107.5,18.942,64.6,37.6,14.3,98.88
Exeter,E07000041,10,12.74,2.6,9.03,2.2,48.5,55.8,88,11.06,8.6,3.4,51.1,62,79.1,84.1,66.6,68.7,0.15,27.8,1,2.8,"30,444.00",12.8,0.128,12.8,7.36,7.3,7.25,150.5,17.54,72.2,39,13.3,96.52
Mid Devon,E07000042,1,3.81,3.1,9.71,2.2,34.7,47.8,88,7,6.36,3.4,51.1,59,80.8,84.7,66.6,68.7,0.108,53.7,1.3,4.5,"27,883.00",14.6,0.103,12.8,7.56,7.87,7.83,114.3,25.493,62,38.1,16.9,96.67
North Devon,E07000043,20,15.76,2.9,10.73,2.2,36.4,38.8,88,7,6.36,3.4,51.1,58,80.4,83.9,66.6,68.7,0.163,49.4,1.3,3.4,"26,106.00",16.6,0.121,12.8,7.49,7.5,7.61,130.9,26.966,65.9,36.7,19.9,96.89
South Hams,E07000044,5,2.28,1.8,11.26,2.2,46.4,52,88,7,6.36,3.4,51.1,72,81.8,85.5,66.6,68.7,0.114,54.7,1.4,4.2,"31,341.00",13.1,0.095,12.8,8.05,8.25,7.55,98.3,22.374,68,43.5,18.6,98.34
Teignbridge,E07000045,26,1.89,2.3,10.4,2.2,31.3,57.9,88,7,6.36,3.4,51.1,65,80.3,84.9,66.6,68.7,0.111,55.9,1.3,4.1,"26,930.00",14,0.114,12.8,7.77,8.23,7.74,116.5,18.932,68.9,38.4,18.1,97.92
Torridge,E07000046,8,2.11,2.8,9.99,2.2,22,62.3,88,7,6.36,3.4,51.1,58,80.3,83.2,66.6,68.7,0.146,55.2,1.3,2.6,"26,537.00",19,0.118,12.8,8.1,8.11,8.04,123.7,28.345,60.7,37.4,18.1,97.55
West Devon,E07000047,17,0.65,2,11.33,2.2,42.3,35.9,88,7,6.36,3.4,51.1,57,80.7,83.9,66.6,68.7,0.089,55.2,1.4,4.1,"25,588.00",14.4,0.102,12.8,7.8,8.54,8.02,121.2,25.592,68.2,40.6,23.8,97.8
Eastbourne,E07000061,3,6.24,3.2,9.6,2.3,30.2,77.7,189,12.05,9.07,3.8,49.3,49,78.9,83.6,63.1,63.3,0.126,32.8,1.2,2.5,"28,864.00",18.8,0.133,15.8,7.18,7.64,7.06,168.6,22.703,65.5,36.3,11.8,96.28
Hastings,E07000062,29,12.47,3.4,10.21,4,30.7,40.5,189,13.14,13.26,3.8,49.3,52,78,81.8,63.1,63.3,0.108,30.8,1.2,2.4,"26,450.00",22.6,0.196,15.8,7.41,7.61,7.39,190.1,27.208,63.8,34.9,12.6,94.98
Lewes,E07000063,23,6.65,2.5,10.88,5.2,35.9,46.5,189,6.2,6.8,3.8,49.3,58,80.5,84.8,63.1,63.3,0.048,39.8,1.4,3.1,"34,195.00",13.7,0.101,15.8,7.69,7.91,7.67,113.2,24.272,66.9,42.5,18.6,97.41
Rother,E07000064,72,6.65,2,11.48,6.2,37.3,44.4,189,6.43,7.23,3.8,49.3,64,80.4,84.3,63.1,63.3,0.134,44.4,1.6,3.3,"30,094.00",18.5,0.104,15.8,7.63,7.89,7.4,115.1,26.617,61.6,38.6,13.5,98.01
Wealden,E07000065,44,1.23,2.6,11.97,2.3,38.6,63.7,189,4.49,4.92,3.8,49.3,62,81.6,85,63.1,63.3,0.129,48.4,1.6,3,"31,090.00",14.3,0.081,15.8,7.52,7.64,7.44,97.7,26.133,62.8,38.3,10.9,96.7
Basildon,E07000066,21,6.66,2.1,10.38,4.1,35.1,68.7,104,9.72,10.19,2.6,50.4,63,79,82.9,64.2,65.9,0.144,46.5,1.2,3.7,"32,745.00",15.5,0.146,13.7,7.63,7.82,7.2,146.8,24.425,57.4,29,11.4,96.27
Braintree,E07000067,23,1.48,2.5,9.62,5.9,25.2,55.3,104,7.63,6.61,2.6,50.4,66,80.2,83.3,64.2,65.9,0.118,45.8,1.4,3.8,"31,945.00",12.8,0.112,13.7,7.41,7.46,7.5,119.1,20.727,56.9,31.6,18.9,97.4
Brentwood,E07000068,0,0.74,3.2,14.12,5.9,33.3,84.4,104,5.81,5.68,2.6,50.4,70,80.7,84.7,64.2,65.9,0.168,41.6,1.6,5.3,"33,172.00",9.1,0.08,13.7,7.36,7.5,7.06,112.2,22.327,64.7,36.1,14.7,97.59
Castle Point,E07000069,4,0.75,2.5,10.61,9.3,32.8,51.3,104,6.59,6.43,2.6,50.4,63,79.4,83.1,64.2,65.9,0.144,48,1.4,2.9,"33,172.00",13.4,0.117,13.7,7.67,7.94,7.34,119.7,19.567,57.6,33.4,10.2,97.21
Chelmsford,E07000070,28,2.43,2.1,10.18,5.1,41.3,63.4,104,8.45,7.1,2.6,50.4,66,81.3,84.6,64.2,65.9,0.089,41.1,1.4,3.9,"37,345.00",9.5,0.083,13.7,7.43,7.65,7.42,106,25.408,62.8,33.2,17,96.93
